日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-05-01,淄建集团医院,118.064021,36.801248,其他,医院,晚上,5.61
2024-05-01,淄建集团医院,118.064021,36.801248,其他,医院,凌晨,3.73
2024-05-01,文昌湖西马桥景点,117.85869,36.690796,其他,旅游景点,上午,8.1
2024-05-01,你好·普拉提·瑜伽,118.009241,36.842339,其他,体育场馆,上午,8.31
2024-05-01,齐文化博物馆,118.364788,36.813558,其他,文化场馆,深夜,5.08
2024-05-01,自贸免税商城(建设中),118.055953,36.845954,其他,商场,傍晚,6.07
2024-05-01,自贸免税商城(建设中),118.055953,36.845954,其他,商场,下午,5.53
2024-05-01,淄博市中心医院西院区培训部,117.97317,36.809077,其他,医院,上午,8.66
2024-05-01,老潍县朝天锅(华光路店),118.075226,36.817059,其他,餐饮,下午,7.19
2024-05-01,老潍县朝天锅(华光路店),118.075226,36.817059,其他,餐饮,深夜,4.62
2024-05-01,东泰广场(茂业百货店),118.296674,36.81926,其他,商场,深夜,3.87
2024-05-01,张店区齐润小学,118.002303,36.81991,其他,学校,下午,6.9
2024-05-01,沂源县人民医院新院区,118.202406,36.210612,其他,医院,晚上,5.74
2024-05-01,中共沂源县委党校,118.19505,36.201654,其他,学校,晚上,4.9
2024-05-01,姜太公祠,118.320602,36.809275,其他,旅游景点,傍晚,6.98
2024-05-01,临淄实验中学,118.281588,36.817591,其他,学校,中午,5.55
2024-05-01,临淄实验中学,118.281588,36.817591,其他,学校,下午,7.41
2024-05-01,猪龙河生态公园,118.04949,36.804743,其他,公园,下午,7.1
2024-05-01,皇室桌球(道庄小区西区东店),118.042127,36.816457,其他,体育场馆,晚上,5.2
2024-05-01,盛和商场,117.662941,37.107877,其他,商场,晚上,7.63
2024-05-01,盛和商场,117.662941,37.107877,其他,商场,傍晚,6.77
2024-05-01,方正帝王商场,118.299215,36.813297,其他,商场,傍晚,7.96
2024-05-01,方正帝王商场,118.299215,36.813297,其他,商场,凌晨,5.28
2024-05-01,张店儿童公园,118.071556,36.801765,其他,公园,凌晨,6.55
2024-05-01,临淄石佛寺,118.350088,36.884502,其他,旅游景点,晚上,4.84
2024-05-01,张店军屯空中草原,118.130249,36.81412,其他,旅游景点,中午,5.0
2024-05-01,怡园,118.333677,36.815041,其他,公园,傍晚,6.7
2024-05-01,世纪广场,117.865179,36.505887,其他,公园,晚上,5.84
2024-05-01,淄博市市级机关医院,118.055697,36.811686,其他,医院,晚上,6.59
2024-05-01,临淄区圃田园,118.304575,36.811855,其他,公园,傍晚,6.28
2024-05-01,临淄区圃田园,118.304575,36.811855,其他,公园,上午,5.4
2024-05-01,沂河源水景公园,118.154262,36.190032,其他,公园,上午,7.62
2024-05-01,沂河源水景公园,118.154262,36.190032,其他,公园,深夜,4.27
2024-05-01,博山陶瓷琉璃艺术博物馆,117.859607,36.499158,其他,文化场馆,凌晨,4.74
2024-05-01,灵芝洞,118.079323,36.267212,其他,旅游景点,深夜,6.76
2024-05-01,淄川区昆仑中心卫生院,117.917455,36.584912,其他,医院,傍晚,5.94
2024-05-01,淄川区昆仑中心卫生院,117.917455,36.584912,其他,医院,凌晨,5.86
2024-05-01,禹山湖,117.792707,36.482443,其他,旅游景点,深夜,5.82
2024-05-01,禹山湖,117.792707,36.482443,其他,旅游景点,晚上,5.16
2024-05-01,炒米山风景区黉园,118.143709,36.763249,其他,旅游景点,下午,6.42
2024-05-01,炒米山风景区黉园,118.143709,36.763249,其他,旅游景点,深夜,4.66
2024-05-01,张店区房镇祠堂,117.950836,36.848017,其他,旅游景点,上午,7.21
2024-05-01,华岩寺,117.842443,36.613711,其他,旅游景点,傍晚,8.25
2024-05-01,华岩寺,117.842443,36.613711,其他,旅游景点,凌晨,5.97
2024-05-01,紫羅山观音寺,117.950841,36.422362,其他,旅游景点,中午,9.13
2024-05-01,紫羅山观音寺,117.950841,36.422362,其他,旅游景点,深夜,6.16
2024-05-01,十六台球器材,118.284746,36.814537,其他,体育场馆,凌晨,4.73
2024-05-01,王村人民广场,117.733561,36.68375,其他,公园,中午,5.4
2024-05-01,聚合购物,118.102169,36.819988,其他,商场,中午,7.51
2024-05-01,陈庄公园,117.917705,37.008687,其他,公园,下午,8.16
2024-05-01,陈庄公园,117.917705,37.008687,其他,公园,上午,6.38
