日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-12-01,下湖村文化广场,118.124776,36.787054,其他,公园,傍晚,4.79
2024-12-01,下湖村文化广场,118.124776,36.787054,其他,公园,中午,6.14
2024-12-01,中德智能制造产教融合示范基地,118.112588,36.830991,其他,文化场馆,凌晨,5.2
2024-12-01,枫山禅院,118.210212,36.455976,其他,旅游景点,晚上,6.11
2024-12-01,石炊百味云南蒸汽石锅鱼,118.01485,36.791229,其他,餐饮,傍晚,6.04
2024-12-01,石炊百味云南蒸汽石锅鱼,118.01485,36.791229,其他,餐饮,下午,6.5
2024-12-01,圆心楼商城,117.844755,36.618944,其他,商场,凌晨,6.14
2024-12-01,高新区四宝山卫生院,118.099801,36.821775,其他,医院,上午,8.46
2024-12-01,高新区四宝山卫生院,118.099801,36.821775,其他,医院,晚上,7.44
2024-12-01,自贸免税商城(建设中),118.055953,36.845954,其他,商场,傍晚,5.38
2024-12-01,金太阳商场,118.166734,36.185648,其他,商场,中午,7.68
2024-12-01,金太阳商场,118.166734,36.185648,其他,商场,深夜,6.32
2024-12-01,桓台县马桥镇中心卫生院,117.920237,37.038991,其他,医院,中午,6.61
2024-12-01,临淄区中医医院,118.303243,36.801864,其他,医院,凌晨,4.37
2024-12-01,临淄区中医医院,118.303243,36.801864,其他,医院,傍晚,7.97
2024-12-01,杨光会重庆鲜货火锅,117.847591,36.502307,其他,餐饮,上午,5.53
2024-12-01,孙庄党建主题公园,118.123778,36.846458,其他,公园,晚上,5.07
2024-12-01,淄博市第一医院北院区,117.877401,36.532754,其他,医院,凌晨,5.08
2024-12-01,蒲松龄纪念馆,118.011484,36.630581,其他,旅游景点,上午,6.78
2024-12-01,球小牛24h自助台球,117.965372,36.650305,其他,体育场馆,中午,6.98
2024-12-01,欧巴春川铁板鸡(吉祥路商业街店),117.971771,36.654814,其他,餐饮,深夜,3.91
2024-12-01,雁阳小学,118.001471,36.653546,其他,学校,上午,8.37
2024-12-01,天清·栖溪源休闲旅游区,118.185972,36.11547,其他,旅游景点,傍晚,6.46
2024-12-01,天清·栖溪源休闲旅游区,118.185972,36.11547,其他,旅游景点,下午,5.53
2024-12-01,西寨煎饼-猪头肉(西寨小区店),117.855764,36.499442,其他,餐饮,晚上,5.39
2024-12-01,西寨煎饼-猪头肉(西寨小区店),117.855764,36.499442,其他,餐饮,下午,7.8
2024-12-01,海岱楼,117.988604,36.841309,其他,旅游景点,下午,5.61
2024-12-01,海岱楼,117.988604,36.841309,其他,旅游景点,上午,5.91
2024-12-01,乡韵金典餐饮(西台店),118.149075,36.191675,其他,餐饮,下午,4.71
2024-12-01,淄博市张店区第十二中学,118.114856,36.790903,其他,学校,凌晨,3.25
2024-12-01,淄博市张店区第十二中学,118.114856,36.790903,其他,学校,中午,5.25
2024-12-01,淄博化建医院,118.233028,36.735297,其他,医院,凌晨,4.97
2024-12-01,淄博化建医院,118.233028,36.735297,其他,医院,深夜,5.8
2024-12-01,玉龙湖湿地公园,118.036436,36.876983,其他,公园,下午,7.34
2024-12-01,黄河楼博物馆,117.889672,37.259592,其他,文化场馆,晚上,6.29
2024-12-01,黄河楼博物馆,117.889672,37.259592,其他,文化场馆,深夜,5.58
2024-12-01,山东省淄博第十八中学,118.055517,36.818262,其他,学校,深夜,4.77
2024-12-01,山东省淄博第十八中学,118.055517,36.818262,其他,学校,傍晚,4.91
2024-12-01,银泰·金街/时代广场,118.035034,36.849708,其他,商场,深夜,5.28
2024-12-01,茂岭公园,117.914827,36.480506,其他,公园,深夜,4.4
2024-12-01,茂岭公园,117.914827,36.480506,其他,公园,凌晨,4.23
2024-12-01,旭阳灶台鱼,118.02153,36.765224,其他,餐饮,凌晨,3.69
2024-12-01,华仁中医医院,118.042517,36.807609,其他,医院,傍晚,8.12
2024-12-01,华仁中医医院,118.042517,36.807609,其他,医院,中午,5.35
2024-12-01,淄博张店馨膳坊饭店,118.028635,36.80315,其他,餐饮,凌晨,6.22
2024-12-01,淄博张店馨膳坊饭店,118.028635,36.80315,其他,餐饮,上午,5.65
2024-12-01,茂业百货(广场店),118.296332,36.819241,其他,商场,上午,7.0
2024-12-01,马莲台风景区,118.347879,36.774682,其他,旅游景点,凌晨,6.62
2024-12-01,马莲台风景区,118.347879,36.774682,其他,旅游景点,晚上,6.4
2024-12-01,欢乐城精品购物广场,118.023549,36.825043,其他,商场,上午,6.48
2024-12-01,品海蒸鲜(曦园店),118.00047,36.846274,其他,餐饮,中午,6.79
2024-12-01,淄博市中心医院门诊部,118.053567,36.806576,其他,医院,凌晨,2.95
2024-12-01,淄博市中心医院门诊部,118.053567,36.806576,其他,医院,上午,6.47
2024-12-01,寇氏游泳健身馆,118.339486,36.814335,其他,体育场馆,凌晨,5.73
2024-12-01,金银山公园,118.053645,36.424029,其他,公园,凌晨,4.97
2024-12-01,金银山公园,118.053645,36.424029,其他,公园,下午,6.89
2024-12-01,塞外春肥羊府(沿河西路店),118.152762,36.190755,其他,餐饮,上午,5.37
2024-12-01,步步高鸽子府,118.314622,36.806359,其他,餐饮,晚上,4.51
2024-12-01,淄川区实验小学南校区,117.964219,36.625985,其他,学校,晚上,4.08
2024-12-01,淄川区实验小学南校区,117.964219,36.625985,其他,学校,深夜,6.13
2024-12-01,少儿游泳综合运动馆,118.02624,36.808166,其他,体育场馆,中午,6.42
2024-12-01,优壹佳健身(华光路店),118.042423,36.820796,其他,体育场馆,上午,8.46
2024-12-01,淄博宝华中医医院,118.02428,36.816938,其他,医院,凌晨,4.27
2024-12-01,昆仑广场,117.91394,36.581689,其他,公园,上午,7.62
2024-12-01,建国私教健身会所(齐悦商业街店),117.987907,36.809122,其他,体育场馆,晚上,3.94
2024-12-01,圣佛山圣佛寺,118.215772,36.651906,其他,旅游景点,凌晨,4.85
2024-12-01,圣佛山圣佛寺,118.215772,36.651906,其他,旅游景点,深夜,5.68
2024-12-01,桓台县跷脚烧烤店,118.067602,36.917548,其他,餐饮,凌晨,5.25
2024-12-01,桓台县跷脚烧烤店,118.067602,36.917548,其他,餐饮,上午,7.25
2024-12-01,淄博公园,117.977602,36.785251,其他,公园,晚上,6.14
