日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-06-01,正宗苗山炒鸡,117.834617,36.514924,其他,餐饮,傍晚,7.03
2024-06-01,淄博市中西医结合医院体检,118.058868,36.79356,其他,医院,凌晨,2.93
2024-06-01,淄博市中西医结合医院体检,118.058868,36.79356,其他,医院,上午,5.45
2024-06-01,银座商城超市(柳泉路店),118.050484,36.805618,其他,商场,晚上,3.4
2024-06-01,管仲纪念馆,118.351952,36.793594,其他,旅游景点,凌晨,5.1
2024-06-01,志速城市滑雪空间(淄博万象汇),118.061233,36.80143,其他,体育场馆,深夜,5.66
2024-06-01,天香公园,117.852515,36.813338,其他,公园,晚上,7.21
2024-06-01,千佛寺,117.84068,36.801278,其他,旅游景点,上午,6.97
2024-06-01,千佛寺,117.84068,36.801278,其他,旅游景点,傍晚,5.69
2024-06-01,利群集团淄博购物广场,118.060455,36.800429,其他,商场,深夜,5.03
2024-06-01,利群集团淄博购物广场,118.060455,36.800429,其他,商场,上午,6.94
2024-06-01,龙二村文化广场,117.98276,36.579372,其他,公园,晚上,4.72
2024-06-01,山东煤炭技术学院,117.985255,36.635242,其他,学校,中午,7.38
2024-06-01,山东煤炭技术学院,117.985255,36.635242,其他,学校,晚上,3.22
2024-06-01,淄博市淄川区淄河镇卫生院,118.085237,36.483345,其他,医院,中午,3.73
2024-06-01,Mr.Sun凉皮铺子(天隆购物广场店),117.861202,36.503338,其他,餐饮,深夜,6.57
2024-06-01,淄博北站南广场,118.02671,36.893317,其他,公园,深夜,3.41
2024-06-01,淄博北站南广场,118.02671,36.893317,其他,公园,下午,5.79
2024-06-01,彩世界精品皮草广场,118.029104,36.822275,其他,商场,上午,7.13
2024-06-01,圣佛山圣佛寺,118.215772,36.651906,其他,旅游景点,下午,7.2
2024-06-01,临淄区凤凰中心卫生院,118.231515,36.882201,其他,医院,下午,8.09
2024-06-01,动力100游泳健身会所(银泰城店),118.036422,36.848499,其他,体育场馆,晚上,6.32
2024-06-01,动力100游泳健身会所(银泰城店),118.036422,36.848499,其他,体育场馆,下午,6.32
2024-06-01,茂业百货-北区,118.296237,36.819238,其他,商场,深夜,3.57
2024-06-01,茂业百货-北区,118.296237,36.819238,其他,商场,中午,5.66
2024-06-01,银座中心店2期,118.049828,36.804971,其他,商场,晚上,6.0
2024-06-01,银座中心店2期,118.049828,36.804971,其他,商场,下午,7.75
2024-06-01,中铝党校,118.047129,36.756803,其他,学校,傍晚,4.83
2024-06-01,中铝党校,118.047129,36.756803,其他,学校,深夜,6.37
2024-06-01,临淄足球博物馆,118.367909,36.813655,其他,文化场馆,中午,4.7
2024-06-01,萌山水库公园,117.861283,36.697633,其他,公园,中午,4.45
2024-06-01,萌山水库公园,117.861283,36.697633,其他,公园,凌晨,3.76
